Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/contact-us/,"1,228",530,00:00:40,80,0.00%,19.14%,$0.00
/multipliers-keynote/,972,452,00:00:30,435,0.23%,35.91%,$0.00
/events/all/,926,386,00:00:10,384,0.00%,15.77%,$0.00
/videos/,887,355,00:00:17,28,0.00%,15.90%,$0.00
/partners/,429,181,00:00:22,55,1.82%,24.01%,$0.00
,"23,131","9,830",00:00:27,"5,918",0.47%,25.58%,$0.00
Day Index,Pageviews,,,,,,
1/1/19,88,,,,,,
1/2/19,335,,,,,,
1/3/19,258,,,,,,
1/4/19,210,,,,,,
1/5/19,62,,,,,,
1/6/19,108,,,,,,
1/7/19,265,,,,,,
1/8/19,325,,,,,,
1/9/19,341,,,,,,
1/10/19,341,,,,,,
1/11/19,270,,,,,,
1/12/19,88,,,,,,
1/13/19,134,,,,,,
1/14/19,277,,,,,,
1/15/19,388,,,,,,
1/16/19,276,,,,,,
1/17/19,234,,,,,,
1/18/19,331,,,,,,
1/19/19,138,,,,,,
1/20/19,209,,,,,,
1/21/19,272,,,,,,
1/22/19,291,,,,,,
1/23/19,463,,,,,,
1/24/19,327,,,,,,
1/25/19,254,,,,,,
1/26/19,176,,,,,,
1/27/19,182,,,,,,
1/28/19,354,,,,,,
1/29/19,284,,,,,,
1/30/19,256,,,,,,
1/31/19,280,,,,,,
2/1/19,387,,,,,,
2/2/19,160,,,,,,
2/3/19,118,,,,,,
2/4/19,380,,,,,,
2/5/19,250,,,,,,
2/6/19,372,,,,,,
2/7/19,334,,,,,,
2/8/19,300,,,,,,
2/9/19,152,,,,,,
2/10/19,196,,,,,,
2/11/19,375,,,,,,
2/12/19,248,,,,,,
2/13/19,336,,,,,,
2/14/19,420,,,,,,
2/15/19,178,,,,,,
2/16/19,138,,,,,,
2/17/19,203,,,,,,
2/18/19,235,,,,,,
2/19/19,310,,,,,,
2/20/19,440,,,,,,
2/21/19,280,,,,,,
2/22/19,246,,,,,,
2/23/19,66,,,,,,
2/24/19,168,,,,,,
2/25/19,410,,,,,,
2/26/19,356,,,,,,
2/27/19,368,,,,,,
2/28/19,296,,,,,,
3/1/19,196,,,,,,
3/2/19,106,,,,,,
3/3/19,91,,,,,,
3/4/19,334,,,,,,
3/5/19,405,,,,,,
3/6/19,329,,,,,,
3/7/19,372,,,,,,
3/8/19,218,,,,,,
3/9/19,105,,,,,,
3/10/19,120,,,,,,
3/11/19,338,,,,,,
3/12/19,250,,,,,,
3/13/19,290,,,,,,
3/14/19,271,,,,,,
3/15/19,210,,,,,,
3/16/19,136,,,,,,
3/17/19,120,,,,,,
3/18/19,337,,,,,,
3/19/19,308,,,,,,
3/20/19,298,,,,,,
3/21/19,300,,,,,,
3/22/19,204,,,,,,
3/23/19,74,,,,,,
3/24/19,180,,,,,,
3/25/19,386,,,,,,
3/26/19,324,,,,,,
3/27/19,346,,,,,,
3/28/19,301,,,,,,
3/29/19,357,,,,,,
3/30/19,100,,,,,,
3/31/19,186,,,,,,
,"23,131",,,,,,
Total,,,,,,,
/quiz/,"9,541","7,829",00:00:50,"5,393",33.61%,28.82%,$0.00
/books/multipliers/,"7,895","6,834",00:01:54,"6,158",59.94%,58.06%,$0.00
/quiz/take-the-quiz/,"7,821","7,010",00:04:35,"1,794",86.96%,75.18%,$0.00
/leading-remote-teams/,"6,183","5,737",00:04:31,"5,540",90.97%,89.67%,$0.00
/,"4,493","3,905",00:01:24,"3,502",54.64%,51.88%,$0.00
/questions/,"1,494","1,223",00:05:22,667,2.92%,69.54%,$0.00
/who-we-are/our-team/,"1,306","1,011",00:00:54,246,58.13%,29.48%,$0.00
/services/webinars/,734,562,00:02:29,106,61.32%,39.37%,$0.00
/who-we-are/our-team/liz-wiseman/,701,623,00:02:05,325,58.77%,53.21%,$0.00
/services/assessments/,700,648,00:02:21,307,64.50%,54.71%,$0.00
,"61,743","53,559",00:02:01,"37,683",59.39%,61.03%,$0.00
Day Index,Pageviews,,,,,,
4/1/20,"1,697",,,,,,
4/2/20,"2,366",,,,,,
4/3/20,"1,259",,,,,,
4/4/20,407,,,,,,
4/5/20,510,,,,,,
4/6/20,"1,226",,,,,,
4/7/20,793,,,,,,
4/8/20,872,,,,,,
4/9/20,668,,,,,,
4/10/20,488,,,,,,
4/11/20,257,,,,,,
4/12/20,345,,,,,,
4/13/20,792,,,,,,
4/14/20,959,,,,,,
4/15/20,634,,,,,,
4/16/20,541,,,,,,
4/17/20,531,,,,,,
4/18/20,245,,,,,,
4/19/20,394,,,,,,
4/20/20,583,,,,,,
4/21/20,"1,478",,,,,,
4/22/20,"1,095",,,,,,
4/23/20,"1,045",,,,,,
4/24/20,629,,,,,,
4/25/20,265,,,,,,
4/26/20,442,,,,,,
4/27/20,626,,,,,,
4/28/20,686,,,,,,
4/29/20,922,,,,,,
4/30/20,574,,,,,,
5/1/20,525,,,,,,
5/2/20,235,,,,,,
5/3/20,298,,,,,,
5/4/20,530,,,,,,
5/5/20,642,,,,,,
5/6/20,688,,,,,,
5/7/20,529,,,,,,
5/8/20,396,,,,,,
5/9/20,173,,,,,,
5/10/20,287,,,,,,
5/11/20,575,,,,,,
5/12/20,579,,,,,,
5/13/20,611,,,,,,
5/14/20,555,,,,,,
5/15/20,394,,,,,,
5/16/20,171,,,,,,
5/17/20,333,,,,,,
5/18/20,606,,,,,,
5/19/20,734,,,,,,
5/20/20,583,,,,,,
5/21/20,860,,,,,,
5/22/20,286,,,,,,
5/23/20,156,,,,,,
5/24/20,230,,,,,,
5/25/20,222,,,,,,
5/26/20,823,,,,,,
5/27/20,528,,,,,,
5/28/20,477,,,,,,
5/29/20,452,,,,,,
5/30/20,167,,,,,,
5/31/20,292,,,,,,
6/1/20,546,,,,,,
6/2/20,504,,,,,,
6/3/20,444,,,,,,
6/4/20,531,,,,,,
6/5/20,515,,,,,,
6/6/20,139,,,,,,
6/7/20,234,,,,,,
6/8/20,557,,,,,,
6/9/20,613,,,,,,
6/10/20,542,,,,,,
6/11/20,589,,,,,,
6/12/20,388,,,,,,
6/13/20,203,,,,,,
6/14/20,252,,,,,,
6/15/20,626,,,,,,
6/16/20,"2,409",,,,,,
6/17/20,"2,800",,,,,,
6/18/20,"2,603",,,,,,
6/19/20,"1,588",,,,,,
6/20/20,327,,,,,,
6/21/20,513,,,,,,
6/22/20,622,,,,,,
6/23/20,"1,706",,,,,,
6/24/20,"1,880",,,,,,
6/25/20,876,,,,,,
6/26/20,646,,,,,,
6/27/20,246,,,,,,
6/28/20,296,,,,,,
6/29/20,701,,,,,,
6/30/20,581,,,,,,
,"61,743",,,,,,
Total,,,,,,,
/quiz/,"11,782","9,995",00:00:59,"7,381",27.23%,25.95%,$0.00
/quiz/take-the-quiz/,"11,584","10,644",00:05:06,"3,562",87.90%,77.56%,$0.00
/books/multipliers/,"7,712","6,683",00:01:55,"6,063",56.63%,54.98%,$0.00
/,"5,143","4,246",00:01:20,"3,713",49.29%,50.46%,$0.00
/who-we-are/our-team/,"1,155",851,00:00:59,194,50.25%,31.86%,$0.00
/services/assessments/,772,705,00:02:11,374,57.22%,51.94%,$0.00
/diminishing,642,484,00:01:21,43,46.51%,44.39%,$0.00
/services/keynotes/,640,524,00:02:09,97,65.96%,40.47%,$0.00
/who-we-are/our-team/liz-wiseman/,633,591,00:02:19,329,65.76%,57.35%,$0.00
/services/coaching/store/,572,268,00:03:09,227,59.03%,38.11%,$0.00
,"70,561","62,224",00:02:16,"42,298",51.21%,59.95%,$0.00
Day Index,Pageviews,,,,,,
7/1/20,669,,,,,,
7/2/20,"1,588",,,,,,
7/3/20,424,,,,,,
7/4/20,210,,,,,,
7/5/20,248,,,,,,
7/6/20,736,,,,,,
7/7/20,"1,422",,,,,,
7/8/20,"1,445",,,,,,
7/9/20,964,,,,,,
7/10/20,482,,,,,,
7/11/20,197,,,,,,
7/12/20,297,,,,,,
7/13/20,685,,,,,,
7/14/20,680,,,,,,
7/15/20,"1,484",,,,,,
7/16/20,"1,082",,,,,,
7/17/20,860,,,,,,
7/18/20,391,,,,,,
7/19/20,315,,,,,,
7/20/20,878,,,,,,
7/21/20,703,,,,,,
7/22/20,721,,,,,,
7/23/20,"1,106",,,,,,
7/24/20,796,,,,,,
7/25/20,245,,,,,,
7/26/20,415,,,,,,
7/27/20,722,,,,,,
7/28/20,"1,053",,,,,,
7/29/20,967,,,,,,
7/30/20,659,,,,,,
7/31/20,514,,,,,,
8/1/20,185,,,,,,
8/2/20,315,,,,,,
8/3/20,"1,392",,,,,,
8/4/20,"1,066",,,,,,
8/5/20,"1,087",,,,,,
8/6/20,"1,089",,,,,,
8/7/20,959,,,,,,
8/8/20,361,,,,,,
8/9/20,405,,,,,,
8/10/20,800,,,,,,
8/11/20,828,,,,,,
8/12/20,747,,,,,,
8/13/20,942,,,,,,
8/14/20,483,,,,,,
8/15/20,220,,,,,,
8/16/20,342,,,,,,
8/17/20,916,,,,,,
8/18/20,"2,069",,,,,,
8/19/20,"3,371",,,,,,
8/20/20,"1,711",,,,,,
8/21/20,997,,,,,,
8/22/20,227,,,,,,
8/23/20,284,,,,,,
8/24/20,764,,,,,,
8/25/20,"1,359",,,,,,
8/26/20,"1,542",,,,,,
8/27/20,"1,252",,,,,,
8/28/20,388,,,,,,
8/29/20,177,,,,,,
8/30/20,206,,,,,,
8/31/20,630,,,,,,
9/1/20,"1,477",,,,,,
9/2/20,"1,189",,,,,,
9/3/20,"1,107",,,,,,
9/4/20,423,,,,,,
9/5/20,138,,,,,,
9/6/20,241,,,,,,
9/7/20,386,,,,,,
9/8/20,602,,,,,,
9/9/20,666,,,,,,
9/10/20,547,,,,,,
9/11/20,607,,,,,,
9/12/20,237,,,,,,
9/13/20,290,,,,,,
